--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
--------------------------------------------------
5.0000       220500       AY8910: reg 0x02, val 0x5F
5.0000       220500       AY8910: reg 0x03, val 0x03
5.0000       220500       AY8910: reg 0x04, val 0xC0
5.0000       220500       AY8910: reg 0x06, val 0x0A
5.0000       220500       AY8910: reg 0x09, val 0x0E
5.0000       220500       WAIT: 882 samples (1/50s)
5.0200       221382       AY8910: reg 0x02, val 0xDF
5.0200       221382       AY8910: reg 0x04, val 0xC9
5.0200       221382       AY8910: reg 0x06, val 0x09
5.0200       221382       AY8910: reg 0x08, val 0x0D
5.0200       221382       AY8910: reg 0x09, val 0x0D
5.0200       221382       WAIT: 882 samples (1/50s)
5.0400       222264       AY8910: reg 0x00, val 0x9F
5.0400       222264       AY8910: reg 0x02, val 0x5F
5.0400       222264       AY8910: reg 0x03, val 0x02
5.0400       222264       AY8910: reg 0x04, val 0xD2
5.0400       222264       AY8910: reg 0x06, val 0x07
5.0400       222264       AY8910: reg 0x08, val 0x0A
5.0400       222264       AY8910: reg 0x09, val 0x0F
5.0400       222264       WAIT: 882 samples (1/50s)
5.0600       223146       AY8910: reg 0x02, val 0xDF
5.0600       223146       AY8910: reg 0x04, val 0xDB
5.0600       223146       AY8910: reg 0x06, val 0x02
5.0600       223146       AY8910: reg 0x08, val 0x09
5.0600       223146       WAIT: 882 samples (1/50s)
5.0800       224028       AY8910: reg 0x02, val 0x5F
5.0800       224028       AY8910: reg 0x03, val 0x03
5.0800       224028       AY8910: reg 0x04, val 0xE4
5.0800       224028       AY8910: reg 0x06, val 0x0A
5.0800       224028       AY8910: reg 0x09, val 0x0E
5.0800       224028       WAIT: 882 samples (1/50s)
5.1000       224910       AY8910: reg 0x02, val 0xDF
5.1000       224910       AY8910: reg 0x04, val 0xE9
5.1000       224910       AY8910: reg 0x06, val 0x09
5.1000       224910       AY8910: reg 0x09, val 0x0D
5.1000       224910       WAIT: 882 samples (1/50s)
5.1200       225792       AY8910: reg 0x00, val 0xB2
5.1200       225792       AY8910: reg 0x03, val 0x02
5.1200       225792       AY8910: reg 0x04, val 0x7E
5.1200       225792       AY8910: reg 0x07, val 0x38
5.1200       225792       AY8910: reg 0x08, val 0x0F
5.1200       225792       AY8910: reg 0x09, val 0x0F
5.1200       225792       AY8910: reg 0x0A, val 0x0E
5.1200       225792       WAIT: 882 samples (1/50s)
5.1400       226674       AY8910: reg 0x02, val 0x5F
5.1400       226674       AY8910: reg 0x03, val 0x04
5.1400       226674       AY8910: reg 0x08, val 0x0E
5.1400       226674       WAIT: 882 samples (1/50s)
5.1600       227556       AY8910: reg 0x03, val 0x05
5.1600       227556       AY8910: reg 0x09, val 0x0E
5.1600       227556       WAIT: 882 samples (1/50s)
5.1800       228438       AY8910: reg 0x02, val 0xDF
5.1800       228438       AY8910: reg 0x03, val 0x06
5.1800       228438       AY8910: reg 0x08, val 0x0D
5.1800       228438       WAIT: 882 samples (1/50s)
5.2000       229320       AY8910: reg 0x00, val 0x96
5.2000       229320       AY8910: reg 0x02, val 0x5F
5.2000       229320       AY8910: reg 0x03, val 0x08
5.2000       229320       AY8910: reg 0x04, val 0x7D
5.2000       229320       AY8910: reg 0x08, val 0x0A
5.2000       229320       AY8910: reg 0x09, val 0x0D
5.2000       229320       WAIT: 882 samples (1/50s)
5.2200       230202       AY8910: reg 0x02, val 0xDF
5.2200       230202       AY8910: reg 0x04, val 0x7C
5.2200       230202       AY8910: reg 0x08, val 0x09
5.2200       230202       AY8910: reg 0x09, val 0x0C
5.2200       230202       WAIT: 882 samples (1/50s)
5.2400       231084       AY8910: reg 0x02, val 0x5F
5.2400       231084       AY8910: reg 0x03, val 0x09
5.2400       231084       AY8910: reg 0x04, val 0x7B
5.2400       231084       AY8910: reg 0x09, val 0x0A
5.2400       231084       WAIT: 882 samples (1/50s)
5.2600       231966       AY8910: reg 0x02, val 0xDF
5.2600       231966       AY8910: reg 0x04, val 0x7A
5.2600       231966       AY8910: reg 0x09, val 0x07
5.2600       231966       WAIT: 882 samples (1/50s)
5.2800       232848       AY8910: reg 0x00, val 0xEF
5.2800       232848       AY8910: reg 0x03, val 0x01
5.2800       232848       AY8910: reg 0x04, val 0x79
5.2800       232848       AY8910: reg 0x06, val 0x00
5.2800       232848       AY8910: reg 0x07, val 0x2A
5.2800       232848       AY8910: reg 0x08, val 0x0F
5.2800       232848       AY8910: reg 0x09, val 0x0C
5.2800       232848       WAIT: 882 samples (1/50s)
5.3000       233730       AY8910: reg 0x04, val 0x78
5.3000       233730       AY8910: reg 0x08, val 0x0E
5.3000       233730       AY8910: reg 0x09, val 0x0A
5.3000       233730       WAIT: 882 samples (1/50s)
5.3200       234612       AY8910: reg 0x04, val 0x77
5.3200       234612       AY8910: reg 0x09, val 0x08
5.3200       234612       WAIT: 882 samples (1/50s)
5.3400       235494       AY8910: reg 0x08, val 0x0D
5.3400       235494       AY8910: reg 0x09, val 0x06
5.3400       235494       WAIT: 882 samples (1/50s)
5.3600       236376       AY8910: reg 0x00, val 0xB2
5.3600       236376       AY8910: reg 0x08, val 0x0A
5.3600       236376       AY8910: reg 0x09, val 0x04
5.3600       236376       AY8910: reg 0x0A, val 0x0D
5.3600       236376       WAIT: 882 samples (1/50s)
5.3800       237258       AY8910: reg 0x08, val 0x09
5.3800       237258       AY8910: reg 0x09, val 0x02
5.3800       237258       WAIT: 882 samples (1/50s)
5.4000       238140       AY8910: reg 0x07, val 0x3A
5.4000       238140       AY8910: reg 0x09, val 0x00
5.4000       238140       WAIT: 882 samples (1/50s)
5.4200       239022       WAIT: 882 samples (1/50s)
5.4400       239904       AY8910: reg 0x00, val 0x96
5.4400       239904       AY8910: reg 0x07, val 0x2A
5.4400       239904       AY8910: reg 0x08, val 0x0F
5.4400       239904       AY8910: reg 0x09, val 0x0C
5.4400       239904       WAIT: 882 samples (1/50s)
5.4600       240786       AY8910: reg 0x08, val 0x0E
5.4600       240786       WAIT: 882 samples (1/50s)
5.4800       241668       AY8910: reg 0x09, val 0x0B
5.4800       241668       WAIT: 882 samples (1/50s)
5.5000       242550       AY8910: reg 0x08, val 0x0D
5.5000       242550       WAIT: 882 samples (1/50s)
5.5200       243432       AY8910: reg 0x00, val 0xEF
5.5200       243432       AY8910: reg 0x08, val 0x0A
5.5200       243432       AY8910: reg 0x09, val 0x0A
5.5200       243432       WAIT: 882 samples (1/50s)
5.5400       244314       AY8910: reg 0x08, val 0x09
5.5400       244314       WAIT: 882 samples (1/50s)
5.5600       245196       AY8910: reg 0x09, val 0x09
5.5600       245196       WAIT: 882 samples (1/50s)
5.5800       246078       WAIT: 882 samples (1/50s)
5.6000       246960       AY8910: reg 0x00, val 0x9F
5.6000       246960       AY8910: reg 0x03, val 0x02
5.6000       246960       AY8910: reg 0x04, val 0x75
5.6000       246960       AY8910: reg 0x07, val 0x38
5.6000       246960       AY8910: reg 0x08, val 0x0F
5.6000       246960       AY8910: reg 0x09, val 0x0F
5.6000       246960       WAIT: 882 samples (1/50s)
5.6200       247842       AY8910: reg 0x02, val 0x5F
5.6200       247842       AY8910: reg 0x03, val 0x04
5.6200       247842       AY8910: reg 0x04, val 0x73
5.6200       247842       AY8910: reg 0x08, val 0x0E
5.6200       247842       WAIT: 882 samples (1/50s)
5.6400       248724       AY8910: reg 0x03, val 0x05
5.6400       248724       AY8910: reg 0x04, val 0x75
5.6400       248724       AY8910: reg 0x09, val 0x0E
5.6400       248724       WAIT: 882 samples (1/50s)
5.6600       249606       AY8910: reg 0x02, val 0xDF
5.6600       249606       AY8910: reg 0x03, val 0x06
5.6600       249606       AY8910: reg 0x04, val 0x77
5.6600       249606       AY8910: reg 0x08, val 0x0D
5.6600       249606       WAIT: 882 samples (1/50s)
5.6800       250488       AY8910: reg 0x00, val 0x96
5.6800       250488       AY8910: reg 0x02, val 0x5F
5.6800       250488       AY8910: reg 0x03, val 0x08
5.6800       250488       AY8910: reg 0x04, val 0x79
5.6800       250488       AY8910: reg 0x08, val 0x0A
5.6800       250488       AY8910: reg 0x09, val 0x0D
5.6800       250488       WAIT: 882 samples (1/50s)
5.7000       251370       AY8910: reg 0x02, val 0xDF
5.7000       251370       AY8910: reg 0x04, val 0x7B
5.7000       251370       AY8910: reg 0x08, val 0x09
5.7000       251370       AY8910: reg 0x09, val 0x0C
5.7000       251370       WAIT: 882 samples (1/50s)
5.7200       252252       AY8910: reg 0x02, val 0x5F
5.7200       252252       AY8910: reg 0x03, val 0x09
5.7200       252252       AY8910: reg 0x04, val 0x79
5.7200       252252       AY8910: reg 0x09, val 0x0A
5.7200       252252       WAIT: 882 samples (1/50s)
5.7400       253134       AY8910: reg 0x02, val 0xDF
5.7400       253134       AY8910: reg 0x04, val 0x77
5.7400       253134       AY8910: reg 0x09, val 0x07
5.7400       253134       WAIT: 882 samples (1/50s)
5.7600       254016       AY8910: reg 0x00, val 0xB2
5.7600       254016       AY8910: reg 0x03, val 0x01
5.7600       254016       AY8910: reg 0x07, val 0x2A
5.7600       254016       AY8910: reg 0x08, val 0x0F
5.7600       254016       AY8910: reg 0x09, val 0x0C
5.7600       254016       WAIT: 882 samples (1/50s)
5.7800       254898       AY8910: reg 0x04, val 0x75
5.7800       254898       AY8910: reg 0x08, val 0x0E
5.7800       254898       AY8910: reg 0x09, val 0x0A
5.7800       254898       WAIT: 882 samples (1/50s)
5.8000       255780       AY8910: reg 0x04, val 0x73
5.8000       255780       AY8910: reg 0x09, val 0x08
5.8000       255780       WAIT: 882 samples (1/50s)
5.8200       256662       AY8910: reg 0x04, val 0x75
5.8200       256662       AY8910: reg 0x08, val 0x0D
5.8200       256662       AY8910: reg 0x09, val 0x06
5.8200       256662       WAIT: 882 samples (1/50s)
5.8400       257544       AY8910: reg 0x00, val 0x9F
5.8400       257544       AY8910: reg 0x04, val 0x77
5.8400       257544       AY8910: reg 0x08, val 0x0A
5.8400       257544       AY8910: reg 0x09, val 0x04
5.8400       257544       WAIT: 882 samples (1/50s)
5.8600       258426       AY8910: reg 0x04, val 0x79
5.8600       258426       AY8910: reg 0x08, val 0x09
5.8600       258426       AY8910: reg 0x09, val 0x02
5.8600       258426       WAIT: 882 samples (1/50s)
5.8800       259308       AY8910: reg 0x04, val 0x7B
5.8800       259308       AY8910: reg 0x07, val 0x3A
5.8800       259308       AY8910: reg 0x09, val 0x00
5.8800       259308       WAIT: 882 samples (1/50s)
5.9000       260190       AY8910: reg 0x04, val 0x79
5.9000       260190       WAIT: 882 samples (1/50s)
5.9200       261072       AY8910: reg 0x00, val 0xC8
5.9200       261072       AY8910: reg 0x04, val 0x77
5.9200       261072       AY8910: reg 0x07, val 0x2A
5.9200       261072       AY8910: reg 0x08, val 0x0F
5.9200       261072       AY8910: reg 0x09, val 0x0C
5.9200       261072       WAIT: 882 samples (1/50s)
5.9400       261954       AY8910: reg 0x08, val 0x0E
5.9400       261954       WAIT: 882 samples (1/50s)
5.9600       262836       AY8910: reg 0x04, val 0x75
5.9600       262836       AY8910: reg 0x09, val 0x0B
5.9600       262836       WAIT: 882 samples (1/50s)
5.9800       263718       AY8910: reg 0x04, val 0x73
5.9800       263718       AY8910: reg 0x08, val 0x0D
5.9800       263718       WAIT: 882 samples (1/50s)
6.0000       264600       AY8910: reg 0x00, val 0xB2
6.0000       264600       AY8910: reg 0x04, val 0x75
6.0000       264600       AY8910: reg 0x08, val 0x0A
6.0000       264600       AY8910: reg 0x09, val 0x0A
6.0000       264600       WAIT: 882 samples (1/50s)
6.0200       265482       AY8910: reg 0x04, val 0x77
6.0200       265482       AY8910: reg 0x08, val 0x09
6.0200       265482       WAIT: 882 samples (1/50s)
6.0400       266364       AY8910: reg 0x04, val 0x79
6.0400       266364       AY8910: reg 0x09, val 0x09
6.0400       266364       WAIT: 882 samples (1/50s)
6.0600       267246       AY8910: reg 0x04, val 0x7B
6.0600       267246       WAIT: 882 samples (1/50s)
6.0800       268128       AY8910: reg 0x00, val 0x9F
6.0800       268128       AY8910: reg 0x04, val 0x79
6.0800       268128       AY8910: reg 0x08, val 0x0F
6.0800       268128       AY8910: reg 0x09, val 0x0C
6.0800       268128       WAIT: 882 samples (1/50s)
6.1000       269010       AY8910: reg 0x04, val 0x77
6.1000       269010       AY8910: reg 0x08, val 0x0E
6.1000       269010       WAIT: 882 samples (1/50s)
6.1200       269892       AY8910: reg 0x09, val 0x0B
6.1200       269892       WAIT: 882 samples (1/50s)
6.1400       270774       AY8910: reg 0x04, val 0x75
6.1400       270774       AY8910: reg 0x08, val 0x0D
6.1400       270774       WAIT: 882 samples (1/50s)
6.1600       271656       AY8910: reg 0x00, val 0xC8
6.1600       271656       AY8910: reg 0x04, val 0x73
6.1600       271656       AY8910: reg 0x08, val 0x0A
6.1600       271656       AY8910: reg 0x09, val 0x0A
6.1600       271656       WAIT: 882 samples (1/50s)
6.1800       272538       AY8910: reg 0x04, val 0x75
6.1800       272538       AY8910: reg 0x08, val 0x09
6.1800       272538       WAIT: 882 samples (1/50s)
6.2000       273420       AY8910: reg 0x04, val 0x77
6.2000       273420       AY8910: reg 0x09, val 0x09
6.2000       273420       WAIT: 882 samples (1/50s)
6.2200       274302       AY8910: reg 0x04, val 0x79
6.2200       274302       WAIT: 882 samples (1/50s)
6.2400       275184       AY8910: reg 0x00, val 0x96
6.2400       275184       AY8910: reg 0x02, val 0x5F
6.2400       275184       AY8910: reg 0x03, val 0x02
6.2400       275184       AY8910: reg 0x04, val 0x7B
6.2400       275184       AY8910: reg 0x06, val 0x07
6.2400       275184       AY8910: reg 0x07, val 0x28
6.2400       275184       AY8910: reg 0x08, val 0x0F
6.2400       275184       AY8910: reg 0x09, val 0x0F
6.2400       275184       WAIT: 882 samples (1/50s)
6.2600       276066       AY8910: reg 0x02, val 0xDF
6.2600       276066       AY8910: reg 0x04, val 0x79
6.2600       276066       AY8910: reg 0x06, val 0x02
6.2600       276066       AY8910: reg 0x08, val 0x0E
6.2600       276066       WAIT: 882 samples (1/50s)
6.2800       276948       AY8910: reg 0x02, val 0x5F
6.2800       276948       AY8910: reg 0x03, val 0x03
6.2800       276948       AY8910: reg 0x04, val 0x77
6.2800       276948       AY8910: reg 0x06, val 0x0A
6.2800       276948       AY8910: reg 0x09, val 0x0E
6.2800       276948       WAIT: 882 samples (1/50s)
6.3000       277830       AY8910: reg 0x02, val 0xDF
6.3000       277830       AY8910: reg 0x06, val 0x09
6.3000       277830       AY8910: reg 0x08, val 0x0D
