--- Parsing VGM from 5.00s to 15.00s ---
Sample range: 220500 to 661500

Time (s)     Samples      Command             
--------------------------------------------------
5.0000       220500       YM2151: reg 0x2D, val 0x32
5.0000       220500       YM2151: reg 0x35, val 0xB0
5.0000       220500       YM2151: reg 0x75, val 0x00
5.0000       220500       YM2151: reg 0x2D, val 0x2A
5.0000       220500       YM2151: reg 0x35, val 0x98
5.0000       220500       YM2151: reg 0x75, val 0x00
5.0000       220500       YM2151: reg 0x2E, val 0x4D
5.0000       220500       YM2151: reg 0x36, val 0x9C
5.0000       220500       YM2151: reg 0x76, val 0x08
5.0000       220500       YM2151: reg 0x0F, val 0x95
5.0000       220500       YM2151: reg 0x27, val 0xFC
5.0000       220500       YM2151: reg 0x7F, val 0x00
5.0000       220500       YM2151: reg 0x75, val 0x04
5.0000       220500       YM2151: reg 0x2D, val 0x2A
5.0000       220500       YM2151: reg 0x35, val 0x98
5.0000       220500       YM2151: reg 0x0F, val 0x95
5.0000       220500       YM2151: reg 0x27, val 0xFC
5.0000       220500       YM2151: reg 0x7F, val 0x25
5.0000       220500       WAIT: 882 samples (1/50s)
5.0200       221382       YM2151: reg 0x2D, val 0x28
5.0200       221382       YM2151: reg 0x35, val 0x34
5.0200       221382       YM2151: reg 0x75, val 0x04
5.0200       221382       YM2151: reg 0x2E, val 0x4C
5.0200       221382       YM2151: reg 0x36, val 0xD0
5.0200       221382       YM2151: reg 0x76, val 0x08
5.0200       221382       YM2151: reg 0x0F, val 0x96
5.0200       221382       YM2151: reg 0x27, val 0xFC
5.0200       221382       YM2151: reg 0x7F, val 0x25
5.0200       221382       YM2151: reg 0x74, val 0x08
5.0200       221382       YM2151: reg 0x2C, val 0x52
5.0200       221382       YM2151: reg 0x34, val 0xE4
5.0200       221382       YM2151: reg 0x0F, val 0x96
5.0200       221382       YM2151: reg 0x27, val 0xFC
5.0200       221382       YM2151: reg 0x7F, val 0x25
5.0200       221382       YM2151: reg 0x75, val 0x08
5.0200       221382       YM2151: reg 0x2D, val 0x28
5.0200       221382       YM2151: reg 0x35, val 0x34
5.0200       221382       YM2151: reg 0x0F, val 0x96
5.0200       221382       YM2151: reg 0x27, val 0xFC
5.0200       221382       YM2151: reg 0x7F, val 0x40
5.0200       221382       WAIT: 882 samples (1/50s)
5.0400       222264       YM2151: reg 0x2C, val 0x51
5.0400       222264       YM2151: reg 0x34, val 0xE0
5.0400       222264       YM2151: reg 0x74, val 0x08
5.0400       222264       YM2151: reg 0x2D, val 0x2A
5.0400       222264       YM2151: reg 0x35, val 0x98
5.0400       222264       YM2151: reg 0x75, val 0x08
5.0400       222264       YM2151: reg 0x2D, val 0x32
5.0400       222264       YM2151: reg 0x35, val 0xB0
5.0400       222264       YM2151: reg 0x75, val 0x08
5.0400       222264       YM2151: reg 0x2E, val 0x4C
5.0400       222264       YM2151: reg 0x36, val 0x10
5.0400       222264       YM2151: reg 0x76, val 0x08
5.0400       222264       YM2151: reg 0x0F, val 0x98
5.0400       222264       YM2151: reg 0x27, val 0xFC
5.0400       222264       YM2151: reg 0x7F, val 0x40
5.0400       222264       YM2151: reg 0x74, val 0x14
5.0400       222264       YM2151: reg 0x2C, val 0x51
5.0400       222264       YM2151: reg 0x34, val 0xE0
5.0400       222264       YM2151: reg 0x0F, val 0x98
5.0400       222264       YM2151: reg 0x27, val 0xFC
5.0400       222264       YM2151: reg 0x7F, val 0x40
5.0400       222264       YM2151: reg 0x75, val 0x00
5.0400       222264       YM2151: reg 0x2D, val 0x32
5.0400       222264       YM2151: reg 0x35, val 0xB0
5.0400       222264       YM2151: reg 0x0F, val 0x98
5.0400       222264       YM2151: reg 0x27, val 0xFC
5.0400       222264       YM2151: reg 0x7F, val 0x00
5.0400       222264       WAIT: 882 samples (1/50s)
5.0600       223146       YM2151: reg 0x2D, val 0x2E
5.0600       223146       YM2151: reg 0x35, val 0x60
5.0600       223146       YM2151: reg 0x75, val 0x00
5.0600       223146       YM2151: reg 0x2E, val 0x4A
5.0600       223146       YM2151: reg 0x36, val 0x54
5.0600       223146       YM2151: reg 0x76, val 0x08
5.0600       223146       YM2151: reg 0x0F, val 0x9D
5.0600       223146       YM2151: reg 0x27, val 0xFC
5.0600       223146       YM2151: reg 0x7F, val 0x00
5.0600       223146       YM2151: reg 0x74, val 0x18
5.0600       223146       YM2151: reg 0x2C, val 0x51
5.0600       223146       YM2151: reg 0x34, val 0xE0
5.0600       223146       YM2151: reg 0x0F, val 0x9D
5.0600       223146       YM2151: reg 0x27, val 0xFC
5.0600       223146       YM2151: reg 0x7F, val 0x00
5.0600       223146       WAIT: 882 samples (1/50s)
5.0800       224028       YM2151: reg 0x2D, val 0x32
5.0800       224028       YM2151: reg 0x35, val 0xB0
5.0800       224028       YM2151: reg 0x75, val 0x00
5.0800       224028       YM2151: reg 0x2D, val 0x2A
5.0800       224028       YM2151: reg 0x35, val 0x98
5.0800       224028       YM2151: reg 0x75, val 0x00
5.0800       224028       YM2151: reg 0x2E, val 0x49
5.0800       224028       YM2151: reg 0x36, val 0xA4
5.0800       224028       YM2151: reg 0x76, val 0x08
5.0800       224028       YM2151: reg 0x0F, val 0x95
5.0800       224028       YM2151: reg 0x27, val 0xFC
5.0800       224028       YM2151: reg 0x7F, val 0x00
5.0800       224028       YM2151: reg 0x75, val 0x04
5.0800       224028       YM2151: reg 0x2D, val 0x2A
5.0800       224028       YM2151: reg 0x35, val 0x98
5.0800       224028       YM2151: reg 0x0F, val 0x95
5.0800       224028       YM2151: reg 0x27, val 0xFC
5.0800       224028       YM2151: reg 0x7F, val 0x25
5.0800       224028       WAIT: 882 samples (1/50s)
5.1000       224910       YM2151: reg 0x2D, val 0x28
5.1000       224910       YM2151: reg 0x35, val 0x34
5.1000       224910       YM2151: reg 0x75, val 0x04
5.1000       224910       YM2151: reg 0x2E, val 0x49
5.1000       224910       YM2151: reg 0x36, val 0x44
5.1000       224910       YM2151: reg 0x76, val 0x08
5.1000       224910       YM2151: reg 0x0F, val 0x96
5.1000       224910       YM2151: reg 0x27, val 0xFC
5.1000       224910       YM2151: reg 0x7F, val 0x25
5.1000       224910       YM2151: reg 0x75, val 0x08
5.1000       224910       YM2151: reg 0x2D, val 0x28
5.1000       224910       YM2151: reg 0x35, val 0x34
5.1000       224910       YM2151: reg 0x0F, val 0x96
5.1000       224910       YM2151: reg 0x27, val 0xFC
5.1000       224910       YM2151: reg 0x7F, val 0x40
5.1000       224910       WAIT: 882 samples (1/50s)
5.1200       225792       YM2151: reg 0x2C, val 0x4E
5.1200       225792       YM2151: reg 0x34, val 0xEC
5.1200       225792       YM2151: reg 0x74, val 0x18
5.1200       225792       YM2151: reg 0x2D, val 0x2E
5.1200       225792       YM2151: reg 0x35, val 0x60
5.1200       225792       YM2151: reg 0x75, val 0x08
