--- Parsing VGM: console_player/cache/03_Scenario_Intro.vgm.opm.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Time (s)  | Offset(h) | Command
----------|-----------|------------------------------------------------
10.0182   | 00004300  | 61: WAIT
10.0182   | 00004303  | 54: YM2151 (reg: 0x08, val: 0x00)
10.0182   | 00004306  | 54: YM2151 (reg: 0x08, val: 0x01)
10.0182   | 00004309  | 61: WAIT
10.0182   | 0000430C  | 54: YM2151 (reg: 0x08, val: 0x02)
10.0182   | 0000430F  | 61: WAIT
10.0182   | 00004312  | 54: YM2151 (reg: 0x08, val: 0x05)
10.0182   | 00004315  | 54: YM2151 (reg: 0x08, val: 0x06)
10.0182   | 00004318  | 61: WAIT
10.0429   | 0000431B  | 61: WAIT
10.0678   | 0000431E  | 61: WAIT
10.0678   | 00004321  | 61: WAIT
10.0679   | 00004324  | 54: YM2151 (reg: 0x20, val: 0xFE)
10.0679   | 00004327  | 54: YM2151 (reg: 0x40, val: 0x31)
10.0679   | 0000432A  | 61: WAIT
10.0679   | 0000432D  | 54: YM2151 (reg: 0x48, val: 0x71)
10.0679   | 00004330  | 54: YM2151 (reg: 0x50, val: 0x71)
10.0679   | 00004333  | 61: WAIT
10.0679   | 00004336  | 54: YM2151 (reg: 0x58, val: 0x71)
10.0679   | 00004339  | 54: YM2151 (reg: 0x80, val: 0x1C)
10.0679   | 0000433C  | 61: WAIT
10.0679   | 0000433F  | 54: YM2151 (reg: 0x88, val: 0x17)
10.0679   | 00004342  | 54: YM2151 (reg: 0x90, val: 0x1C)
10.0679   | 00004345  | 61: WAIT
10.0680   | 00004348  | 54: YM2151 (reg: 0x98, val: 0x17)
10.0680   | 0000434B  | 54: YM2151 (reg: 0xA0, val: 0x12)
10.0680   | 0000434E  | 54: YM2151 (reg: 0xA8, val: 0x02)
10.0680   | 00004351  | 61: WAIT
10.0680   | 00004354  | 54: YM2151 (reg: 0xB0, val: 0x02)
10.0680   | 00004357  | 54: YM2151 (reg: 0xB8, val: 0x02)
10.0680   | 0000435A  | 61: WAIT
10.0680   | 0000435D  | 54: YM2151 (reg: 0xC0, val: 0x03)
10.0680   | 00004360  | 54: YM2151 (reg: 0xC8, val: 0x01)
10.0680   | 00004363  | 61: WAIT
10.0680   | 00004366  | 54: YM2151 (reg: 0xD0, val: 0x01)
10.0680   | 00004369  | 54: YM2151 (reg: 0xD8, val: 0x01)
10.0680   | 0000436C  | 61: WAIT
10.0680   | 0000436F  | 54: YM2151 (reg: 0xE0, val: 0x1B)
10.0680   | 00004372  | 54: YM2151 (reg: 0xE8, val: 0x1B)
10.0680   | 00004375  | 54: YM2151 (reg: 0xF0, val: 0x1B)
10.0680   | 00004378  | 61: WAIT
10.0681   | 0000437B  | 54: YM2151 (reg: 0xF8, val: 0x1B)
10.0681   | 0000437E  | 54: YM2151 (reg: 0x60, val: 0x16)
10.0681   | 00004381  | 61: WAIT
10.0681   | 00004384  | 54: YM2151 (reg: 0x68, val: 0x1C)
10.0681   | 00004387  | 54: YM2151 (reg: 0x70, val: 0x1C)
10.0681   | 0000438A  | 61: WAIT
10.0681   | 0000438D  | 54: YM2151 (reg: 0x78, val: 0x1C)
10.0681   | 00004390  | 54: YM2151 (reg: 0x08, val: 0x00)
10.0681   | 00004393  | 61: WAIT
10.0681   | 00004396  | 54: YM2151 (reg: 0x21, val: 0xED)
10.0681   | 00004399  | 54: YM2151 (reg: 0x41, val: 0x31)
10.0681   | 0000439C  | 61: WAIT
10.0682   | 0000439F  | 54: YM2151 (reg: 0x49, val: 0x30)
10.0682   | 000043A2  | 54: YM2151 (reg: 0x51, val: 0x30)
10.0682   | 000043A5  | 61: WAIT
10.0682   | 000043A8  | 54: YM2151 (reg: 0x59, val: 0x70)
10.0682   | 000043AB  | 54: YM2151 (reg: 0x81, val: 0x1F)
10.0682   | 000043AE  | 61: WAIT
10.0682   | 000043B1  | 54: YM2151 (reg: 0x89, val: 0x1F)
10.0682   | 000043B4  | 54: YM2151 (reg: 0x91, val: 0x1F)
10.0682   | 000043B7  | 61: WAIT
10.0682   | 000043BA  | 54: YM2151 (reg: 0x99, val: 0x1F)
10.0682   | 000043BD  | 54: YM2151 (reg: 0xA1, val: 0x14)
10.0682   | 000043C0  | 61: WAIT
10.0683   | 000043C3  | 54: YM2151 (reg: 0xA9, val: 0x01)
10.0683   | 000043C6  | 54: YM2151 (reg: 0xB1, val: 0x01)
10.0683   | 000043C9  | 54: YM2151 (reg: 0xB9, val: 0x01)
10.0683   | 000043CC  | 61: WAIT
10.0683   | 000043CF  | 54: YM2151 (reg: 0xC1, val: 0x00)
10.0683   | 000043D2  | 54: YM2151 (reg: 0xC9, val: 0x0F)
10.0683   | 000043D5  | 61: WAIT
10.0683   | 000043D8  | 54: YM2151 (reg: 0xD1, val: 0x0F)
10.0683   | 000043DB  | 54: YM2151 (reg: 0xD9, val: 0x0F)
10.0683   | 000043DE  | 61: WAIT
10.0683   | 000043E1  | 54: YM2151 (reg: 0xE1, val: 0xFF)
10.0683   | 000043E4  | 54: YM2151 (reg: 0xE9, val: 0x0F)
10.0683   | 000043E7  | 61: WAIT
10.0683   | 000043EA  | 54: YM2151 (reg: 0xF1, val: 0x0F)
10.0683   | 000043ED  | 54: YM2151 (reg: 0xF9, val: 0x0F)
10.0683   | 000043F0  | 61: WAIT
10.0684   | 000043F3  | 54: YM2151 (reg: 0x61, val: 0x04)
10.0684   | 000043F6  | 54: YM2151 (reg: 0x69, val: 0x1A)
10.0684   | 000043F9  | 61: WAIT
10.0684   | 000043FC  | 54: YM2151 (reg: 0x71, val: 0x1A)
10.0684   | 000043FF  | 54: YM2151 (reg: 0x79, val: 0x1A)
10.0684   | 00004402  | 61: WAIT
10.0684   | 00004405  | 54: YM2151 (reg: 0x29, val: 0x0C)
10.0684   | 00004408  | 54: YM2151 (reg: 0x31, val: 0x34)
10.0684   | 0000440B  | 54: YM2151 (reg: 0x29, val: 0x09)
10.0684   | 0000440E  | 54: YM2151 (reg: 0x31, val: 0x14)
10.0684   | 00004411  | 61: WAIT
10.0684   | 00004414  | 54: YM2151 (reg: 0x08, val: 0x01)
10.0684   | 00004417  | 54: YM2151 (reg: 0x08, val: 0x79)
