--- Parsing VGM: console_player/music/ws_vgm_ff1/25_Fanfare.vgm ---
VGM Version: 0x171
Data Start Offset: 0xE0

Offset(h) | Command
----------|------------------------------------------------
000000E0  | BC: WonderSwan (reg: 0x00, val: 0x00)
000000E3  | BC: WonderSwan (reg: 0x01, val: 0x00)
000000E6  | BC: WonderSwan (reg: 0x02, val: 0x00)
000000E9  | BC: WonderSwan (reg: 0x03, val: 0x00)
000000EC  | BC: WonderSwan (reg: 0x04, val: 0x2B)
000000EF  | BC: WonderSwan (reg: 0x05, val: 0x04)
000000F2  | BC: WonderSwan (reg: 0x06, val: 0x00)
000000F5  | BC: WonderSwan (reg: 0x07, val: 0x00)
000000F8  | BC: WonderSwan (reg: 0x08, val: 0x00)
000000FB  | BC: WonderSwan (reg: 0x09, val: 0x00)
000000FE  | BC: WonderSwan (reg: 0x0A, val: 0x00)
00000101  | BC: WonderSwan (reg: 0x0B, val: 0x00)
00000104  | BC: WonderSwan (reg: 0x0C, val: 0x00)
00000107  | BC: WonderSwan (reg: 0x0D, val: 0x00)
0000010A  | BC: WonderSwan (reg: 0x0E, val: 0x18)
0000010D  | BC: WonderSwan (reg: 0x0F, val: 0x02)
00000110  | BC: WonderSwan (reg: 0x10, val: 0x40)
00000113  | BC: WonderSwan (reg: 0x11, val: 0x07)
00000116  | BC: WonderSwan (reg: 0x14, val: 0x00)
00000119  | BC: WonderSwan (reg: 0x1E, val: 0x00)
0000011C  | C6: WSwan Mem 00 80 FF
00000120  | C6: WSwan Mem 00 81 FF
00000124  | C6: WSwan Mem 00 82 FF
00000128  | C6: WSwan Mem 00 83 FF
0000012C  | 70: WAIT n+1 (val: 1)
0000012D  | C6: WSwan Mem 00 84 FF
00000131  | C6: WSwan Mem 00 85 FF
00000135  | C6: WSwan Mem 00 86 FF
00000139  | C6: WSwan Mem 00 87 FF
0000013D  | C6: WSwan Mem 00 88 00
00000141  | C6: WSwan Mem 00 89 00
00000145  | C6: WSwan Mem 00 8A 00
00000149  | C6: WSwan Mem 00 8B 00
0000014D  | C6: WSwan Mem 00 8C 00
00000151  | C6: WSwan Mem 00 8D 00
00000155  | C6: WSwan Mem 00 8E 00
00000159  | C6: WSwan Mem 00 8F 00
0000015D  | 78: WAIT n+1 (val: 9)
0000015E  | C6: WSwan Mem 00 80 CC
00000162  | C6: WSwan Mem 00 81 DD
00000166  | C6: WSwan Mem 00 82 EE
0000016A  | C6: WSwan Mem 00 83 EE
0000016E  | C6: WSwan Mem 00 84 EE
00000172  | C6: WSwan Mem 00 85 EE
00000176  | C6: WSwan Mem 00 86 DD
0000017A  | C6: WSwan Mem 00 87 CC
0000017E  | C6: WSwan Mem 00 88 33
00000182  | C6: WSwan Mem 00 89 22
00000186  | C6: WSwan Mem 00 8A 11
0000018A  | C6: WSwan Mem 00 8B 11
0000018E  | C6: WSwan Mem 00 8C 11
00000192  | C6: WSwan Mem 00 8D 11
00000196  | C6: WSwan Mem 00 8E 22
0000019A  | C6: WSwan Mem 00 8F 33
0000019E  | 72: WAIT n+1 (val: 3)
0000019F  | BC: WonderSwan (reg: 0x00, val: 0x2D)
000001A2  | BC: WonderSwan (reg: 0x01, val: 0x03)
000001A5  | 71: WAIT n+1 (val: 2)
000001A6  | C6: WSwan Mem 00 90 FF
000001AA  | C6: WSwan Mem 00 91 FF
000001AE  | C6: WSwan Mem 00 92 FF
000001B2  | C6: WSwan Mem 00 93 FF
000001B6  | C6: WSwan Mem 00 94 FF
000001BA  | C6: WSwan Mem 00 95 FF
000001BE  | C6: WSwan Mem 00 96 FF
000001C2  | C6: WSwan Mem 00 97 FF
000001C6  | C6: WSwan Mem 00 98 00
000001CA  | C6: WSwan Mem 00 99 00
000001CE  | 70: WAIT n+1 (val: 1)
000001CF  | C6: WSwan Mem 00 9A 00
000001D3  | C6: WSwan Mem 00 9B 00
000001D7  | C6: WSwan Mem 00 9C 00
000001DB  | C6: WSwan Mem 00 9D 00
000001DF  | C6: WSwan Mem 00 9E 00
000001E3  | C6: WSwan Mem 00 9F 00
000001E7  | 77: WAIT n+1 (val: 8)
000001E8  | C6: WSwan Mem 00 A0 FF
000001EC  | C6: WSwan Mem 00 A1 EE
000001F0  | 70: WAIT n+1 (val: 1)
000001F1  | C6: WSwan Mem 00 A2 DD
000001F5  | C6: WSwan Mem 00 A3 CC
000001F9  | C6: WSwan Mem 00 A4 BB
000001FD  | C6: WSwan Mem 00 A5 AA
00000201  | C6: WSwan Mem 00 A6 99
00000205  | C6: WSwan Mem 00 A7 88
00000209  | C6: WSwan Mem 00 A8 77
0000020D  | C6: WSwan Mem 00 A9 66
00000211  | C6: WSwan Mem 00 AA 55
00000215  | C6: WSwan Mem 00 AB 44
00000219  | C6: WSwan Mem 00 AC 33
0000021D  | C6: WSwan Mem 00 AD 22
00000221  | C6: WSwan Mem 00 AE 11
00000225  | C6: WSwan Mem 00 AF 00
00000229  | 77: WAIT n+1 (val: 8)
0000022A  | C6: WSwan Mem 00 B0 FF
0000022E  | C6: WSwan Mem 00 B1 FF
00000232  | C6: WSwan Mem 00 B2 FF
00000236  | C6: WSwan Mem 00 B3 FF
0000023A  | C6: WSwan Mem 00 B4 FF
0000023E  | C6: WSwan Mem 00 B5 FF
00000242  | C6: WSwan Mem 00 B6 FF
00000246  | C6: WSwan Mem 00 B7 FF
0000024A  | C6: WSwan Mem 00 B8 00
0000024E  | C6: WSwan Mem 00 B9 00
00000252  | C6: WSwan Mem 00 BA 00
00000256  | C6: WSwan Mem 00 BB 00
0000025A  | C6: WSwan Mem 00 BC 00
0000025E  | C6: WSwan Mem 00 BD 00
00000262  | C6: WSwan Mem 00 BE 00
