--- Parsing VGM: console_player/music/if-fmt_version_1/03_Scenario_Intro.vgm ---
VGM Version: 0x171
Data Start Offset: 0x100

Time (s)  | Offset(h) | Command
----------|-----------|------------------------------------------------
10.0182   | 000047A1  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
10.0182   | 000047A4  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
10.0182   | 000047A7  | 61: WAIT
10.0182   | 000047AA  | 52: YM2612 P0 (reg: 0x28, val: 0x00)
10.0182   | 000047AD  | 52: YM2612 P0 (reg: 0x28, val: 0x01)
10.0182   | 000047B0  | 61: WAIT
10.0182   | 000047B3  | 52: YM2612 P0 (reg: 0x28, val: 0x02)
10.0182   | 000047B6  | 61: WAIT
10.0182   | 000047B9  | 52: YM2612 P0 (reg: 0x28, val: 0x05)
10.0182   | 000047BC  | 52: YM2612 P0 (reg: 0x28, val: 0x06)
10.0182   | 000047BF  | 61: WAIT
10.0429   | 000047C2  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
10.0429   | 000047C5  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
10.0429   | 000047C8  | 61: WAIT
10.0678   | 000047CB  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
10.0678   | 000047CE  | 61: WAIT
10.0678   | 000047D1  | 52: YM2612 P0 (reg: 0x27, val: 0x2A)
10.0678   | 000047D4  | 61: WAIT
10.0679   | 000047D7  | 52: YM2612 P0 (reg: 0xB0, val: 0x3E)
10.0679   | 000047DA  | 52: YM2612 P0 (reg: 0x30, val: 0x31)
10.0679   | 000047DD  | 61: WAIT
10.0679   | 000047E0  | 52: YM2612 P0 (reg: 0x34, val: 0x71)
10.0679   | 000047E3  | 52: YM2612 P0 (reg: 0x38, val: 0x71)
10.0679   | 000047E6  | 61: WAIT
10.0679   | 000047E9  | 52: YM2612 P0 (reg: 0x3C, val: 0x71)
10.0679   | 000047EC  | 52: YM2612 P0 (reg: 0x50, val: 0x1C)
10.0679   | 000047EF  | 61: WAIT
10.0679   | 000047F2  | 52: YM2612 P0 (reg: 0x54, val: 0x17)
10.0679   | 000047F5  | 52: YM2612 P0 (reg: 0x58, val: 0x1C)
10.0679   | 000047F8  | 61: WAIT
10.0680   | 000047FB  | 52: YM2612 P0 (reg: 0x5C, val: 0x17)
10.0680   | 000047FE  | 52: YM2612 P0 (reg: 0x60, val: 0x12)
10.0680   | 00004801  | 52: YM2612 P0 (reg: 0x64, val: 0x02)
10.0680   | 00004804  | 61: WAIT
10.0680   | 00004807  | 52: YM2612 P0 (reg: 0x68, val: 0x02)
10.0680   | 0000480A  | 52: YM2612 P0 (reg: 0x6C, val: 0x02)
10.0680   | 0000480D  | 61: WAIT
10.0680   | 00004810  | 52: YM2612 P0 (reg: 0x70, val: 0x03)
10.0680   | 00004813  | 52: YM2612 P0 (reg: 0x74, val: 0x01)
10.0680   | 00004816  | 61: WAIT
10.0680   | 00004819  | 52: YM2612 P0 (reg: 0x78, val: 0x01)
10.0680   | 0000481C  | 52: YM2612 P0 (reg: 0x7C, val: 0x01)
10.0680   | 0000481F  | 61: WAIT
10.0680   | 00004822  | 52: YM2612 P0 (reg: 0x80, val: 0x1B)
10.0680   | 00004825  | 52: YM2612 P0 (reg: 0x84, val: 0x1B)
10.0680   | 00004828  | 52: YM2612 P0 (reg: 0x88, val: 0x1B)
10.0680   | 0000482B  | 61: WAIT
10.0681   | 0000482E  | 52: YM2612 P0 (reg: 0x8C, val: 0x1B)
10.0681   | 00004831  | 52: YM2612 P0 (reg: 0x40, val: 0x16)
10.0681   | 00004834  | 61: WAIT
10.0681   | 00004837  | 52: YM2612 P0 (reg: 0x44, val: 0x1C)
10.0681   | 0000483A  | 52: YM2612 P0 (reg: 0x48, val: 0x1C)
10.0681   | 0000483D  | 61: WAIT
10.0681   | 00004840  | 52: YM2612 P0 (reg: 0x4C, val: 0x1C)
10.0681   | 00004843  | 52: YM2612 P0 (reg: 0x28, val: 0x00)
10.0681   | 00004846  | 61: WAIT
